TIME  ns, IN1, IN2
500, -0.61859, -0.668807
499.023, -0.442331, -0.555175
498.047, -0.266073, -0.441542
497.07, -0.089814, -0.32791
496.094, 0.086444, -0.214278
495.117, 0.262703, -0.100646
494.141, 0.438962, 0.012987
493.164, 0.61522, 0.126619
492.188, 0.791479, 0.240251
491.211, 0.900782, 0.275185
490.234, 0.994176, 0.291418
489.258, 1.087569, 0.307651
488.281, 1.180963, 0.323884
487.305, 1.274356, 0.340117
486.328, 1.36775, 0.356351
485.352, 1.461143, 0.372584
484.375, 1.554536, 0.388817
483.398, 1.627536, 0.425049
482.422, 1.687822, 0.473749
481.445, 1.748108, 0.522448
480.469, 1.808395, 0.571148
479.492, 1.868681, 0.619848
478.516, 1.928967, 0.668547
477.539, 1.989253, 0.717247
476.563, 2.049539, 0.765946
475.586, 2.08811, 0.814646
474.609, 2.097181, 0.863345
473.633, 2.106251, 0.912045
472.656, 2.115322, 0.960744
471.68, 2.124392, 1.009444
470.703, 2.133462, 1.058143
469.727, 2.142533, 1.106843
468.75, 2.151603, 1.155542
467.773, 2.126997, 1.164322
466.797, 1.990908, 1.040949
465.82, 1.854818, 0.917577
464.844, 1.718729, 0.794205
463.867, 1.582639, 0.670833
462.891, 1.44655, 0.547461
461.914, 1.31046, 0.424089
460.938, 1.174371, 0.300717
459.961, 1.043931, 0.183188
458.984, 1.049082, 0.205915
458.008, 1.054232, 0.228641
457.031, 1.059383, 0.251367
456.055, 1.064534, 0.274094
455.078, 1.069685, 0.29682
454.102, 1.074835, 0.319547
453.125, 1.079986, 0.342273
452.148, 1.085137, 0.365
451.172, 1.086195, 0.37396
450.195, 1.086519, 0.380454
449.219, 1.086842, 0.386947
448.242, 1.087166, 0.39344
447.266, 1.08749, 0.399934
446.289, 1.087814, 0.406427
445.313, 1.088138, 0.41292
444.336, 1.088462, 0.419413
443.359, 1.118665, 0.421647
442.383, 1.164535, 0.421647
441.406, 1.210406, 0.421647
440.43, 1.256277, 0.421647
439.453, 1.302147, 0.421647
438.477, 1.348018, 0.421647
437.5, 1.393888, 0.421647
436.523, 1.439759, 0.421647
435.547, 1.439755, 0.400557
434.57, 1.386758, 0.355104
433.594, 1.33376, 0.309651
432.617, 1.280763, 0.264198
431.641, 1.227765, 0.218745
430.664, 1.174768, 0.173293
429.688, 1.121771, 0.12784
428.711, 1.068773, 0.082387
427.734, 1.017238, 0.059894
426.758, 0.969618, 0.098853
425.781, 0.921998, 0.137813
424.805, 0.874379, 0.176773
423.828, 0.826759, 0.215732
422.852, 0.779139, 0.254692
421.875, 0.731519, 0.293651
420.898, 0.683899, 0.332611
419.922, 0.623695, 0.361961
418.945, 0.418767, 0.280795
417.969, 0.213839, 0.199629
416.992, 0.008911, 0.118464
416.016, -0.196016, 0.037298
415.039, -0.400944, -0.043868
414.063, -0.605872, -0.125034
413.086, -0.8108, -0.2062
412.109, -1.015728, -0.287366
411.133, -1.088705, -0.307989
410.156, -1.145039, -0.320975
409.18, -1.201373, -0.333962
408.203, -1.257707, -0.346948
407.227, -1.314041, -0.359935
406.25, -1.370375, -0.372921
405.273, -1.426709, -0.385908
404.297, -1.483043, -0.398895
403.32, -1.529344, -0.375727
402.344, -1.571263, -0.336767
401.367, -1.613181, -0.297808
400.391, -1.6551, -0.258848
399.414, -1.697018, -0.219888
398.438, -1.738937, -0.180929
397.461, -1.780855, -0.141969
396.484, -1.822774, -0.103009
395.508, -1.807222, -0.122956
394.531, -1.735112, -0.200875
393.555, -1.663002, -0.278795
392.578, -1.590892, -0.356714
391.602, -1.518782, -0.434633
390.625, -1.446671, -0.512552
389.648, -1.374561, -0.590472
388.672, -1.302451, -0.668391
387.695, -1.226237, -0.685534
386.719, -1.140975, -0.568655
385.742, -1.055712, -0.451776
384.766, -0.97045, -0.334897
383.789, -0.885188, -0.218019
382.813, -0.799925, -0.10114
381.836, -0.714663, 0.015739
380.859, -0.6294, 0.132618
379.883, -0.567267, 0.221837
378.906, -0.674752, 0.108204
377.93, -0.782237, -0.005428
