TIME μs, IN1, IN2
10, -0.887416, -0.34965
9.98, -0.178862, 0.0227
9.961, -0.156836, 0.0227
9.941, -0.175943, 0.0227
9.922, 0.197706, 0.0227
9.902, -0.18762, 0.0227
9.883, -0.04299, 0.0227
9.863, -0.160551, -0.34965
9.844, 0.031581, 0.0227
9.824, 0.244147, 0.341858
9.805, 0.532611, 0.368454
9.785, 0.497581, 0.049297
9.766, 0.181784, 0.0227
9.746, -0.377098, 0.0227
9.727, -0.94288, -0.402842
9.707, -0.881047, -0.34965
9.688, -0.640616, -0.030492
9.668, 0.364097, 0.0227
9.648, 1.14961, 0.448243
9.629, 1.308836, 0.767401
9.609, 1.591196, 0.501436
9.59, -0.161613, 0.075893
9.57, 0.222386, 0.341858
9.551, -2.056397, -0.34965
9.531, -1.122008, 0.208876
9.512, -1.083529, -0.34965
9.492, -0.449015, -0.34965
9.473, 1.667093, 0.421647
9.453, 0.915018, 0.155683
9.434, 1.775632, 0.84719
9.414, 0.508196, 0.47484
9.395, -0.561269, -0.402842
9.375, -1.961393, -0.003896
9.355, -2.167059, -0.801789
9.336, -0.698734, -0.030492
9.316, -0.416108, 0.341858
9.297, 1.601811, 0.288665
9.277, 2.097799, 0.873786
9.258, 1.637371, 0.767401
9.238, 0.766938, 0.155683
9.219, -1.275396, -0.26986
9.199, -1.849935, -1.120946
9.18, -2.006772, -0.668807
9.16, -1.908583, -0.775193
9.141, 0.639823, 0.0227
9.121, 0.14012, -0.26986
9.102, 2.121948, 0.793997
9.082, 1.452404, 0.155683
9.063, 1.83083, 0.793997
9.043, 0.949517, 0.820594
9.023, -2.05852, -0.402842
9.004, -0.804088, 0.262068
8.984, -2.133091, -0.429439
8.965, -0.754728, -0.402842
8.945, 0.728193, -0.057089
8.926, 0.675914, 0.129086
8.906, 2.073118, 0.501436
8.887, 1.000203, 0.10249
8.867, 0.539245, 0.075893
8.848, -1.301933, -0.376246
8.828, -1.805617, -0.748596
8.809, -1.064687, -0.668807
8.789, -1.200825, -0.429439
8.77, 0.75075, -0.057089
8.75, 0.938902, 0.767401
8.73, 1.380487, 0.767401
8.711, 0.886092, 0.448243
8.691, -0.25821, 0.049297
8.672, -0.437869, -0.243264
8.652, -1.753338, -0.402842
8.633, -0.568699, -0.110282
8.613, -0.691303, -0.34965
8.594, -0.355603, 0.0227
8.574, 0.800375, 0.395051
8.555, 0.0483, 0.049297
8.535, 0.613285, 0.395051
8.516, 0.000532, 0.049297
8.496, -0.158959, 0.0227
8.477, -0.043255, 0.049297
8.457, -0.089165, -0.030492
8.438, 0.029723, 0.0227
8.418, -0.04644, 0.0227
8.398, -0.204073, 0.075893
8.379, -0.4315, 0.0227
8.359, -0.33968, -0.34965
8.34, -0.261659, 0.0227
8.32, 0.218406, 0.0227
8.301, 0.703778, 0.368454
8.281, 0.763223, 0.395051
8.262, 0.617266, 0.448243
8.242, -0.236714, 0.049297
8.223, -0.880251, -0.34965
8.203, -1.214359, -0.722
8.184, -1.103432, -0.402842
8.164, -0.091023, -0.402842
8.145, -0.295097, -0.34965
8.125, 2.027739, 0.448243
8.105, 0.990915, 0.155683
8.086, 1.250188, 0.395051
8.066, 0.500766, 0.395051
8.047, -1.943347, -0.429439
8.027, -0.873086, 0.262068
8.008, -2.003587, -0.775193
7.988, -0.600014, -0.402842
7.969, 0.365689, 0.368454
7.949, 1.826584, 0.421647
