TIME μs, IN1
10, -0.453176
9.98, -2.041186
9.961, -1.007281
9.941, -2.111776
9.922, -0.937487
9.902, 1.479292
9.883, 0.553926
9.863, 2.166351
9.844, 0.764369
9.824, 0.333133
9.805, -1.352004
9.785, -1.922032
9.766, -0.990297
9.746, -1.152442
9.727, 1.278933
9.707, 0.953052
9.688, 1.456204
9.668, 0.794887
9.648, -0.420269
9.629, -0.620628
9.609, -1.196229
9.59, -0.606563
9.57, -0.09253
9.551, 0.25644
9.531, 0.992062
9.512, 0.158781
9.492, 0.469802
9.473, 0.174704
9.453, -0.207968
9.434, 0.110217
9.414, -0.106064
9.395, 0.103848
9.375, -0.266617
9.355, -0.17347
9.336, -0.439642
9.316, -0.373563
9.297, -0.140563
9.277, 0.499259
9.258, 0.855924
9.238, 0.730666
9.219, 0.612574
9.199, -0.701833
9.18, -0.990031
9.16, -1.214009
9.141, -1.099366
9.121, 0.078372
9.102, 0.710763
9.082, 2.038705
9.063, 1.081228
9.043, 1.108031
9.023, -0.983928
9.004, -2.080727
8.984, -0.912276
8.965, -1.893902
8.945, -0.534381
8.926, 1.648337
8.906, 0.93819
8.887, 2.166351
8.867, 0.814525
8.848, 0.561091
8.828, -1.764929
8.809, -2.162728
8.789, -1.18296
8.77, -1.097243
8.75, 1.895667
8.73, 1.833569
8.711, 2.008983
8.691, 1.208609
8.672, -0.457953
8.652, -1.156688
8.633, -2.123187
8.613, -0.83744
8.594, -0.715367
8.574, 1.400741
8.555, 2.136098
8.535, 1.348992
8.516, 1.447712
8.496, 0.267851
8.477, -1.496104
8.457, -0.729963
8.438, -1.389688
8.418, -0.424515
8.398, -0.056704
8.379, 1.076717
8.359, 0.69776
8.34, 0.340829
8.32, 0.269443
8.301, -0.869816
8.281, -0.641327
8.262, -0.477856
8.242, -0.210091
8.223, 0.30288
8.203, 0.1755
8.184, 0.219818
8.164, -0.044762
8.145, -0.158609
8.125, 0.103318
8.105, 0.081822
8.086, 0.35224
8.066, 0.085272
8.047, -0.222299
8.027, -0.727044
8.008, -0.636285
7.988, -0.561449
7.969, -0.228137
7.949, 0.295981
7.93, 1.020457
7.91, 0.802053
7.891, 0.33791
7.871, -0.023267
7.852, -1.473812
7.832, -1.617115
7.813, -0.9075
7.793, -0.424515
7.773, 1.511402
7.754, 1.722642
7.734, 1.471861
7.715, 0.855924
7.695, -0.734209
7.676, -1.441702
7.656, -2.13221
7.637, -0.915992
7.617, -0.278558
7.598, 1.613307
7.578, 2.159185
7.559, 1.494153
7.539, 1.313167
7.52, -1.37695
7.5, -2.123718
7.48, -1.123781
7.461, -2.142825
7.441, -0.111902
7.422, -0.044231
7.402, 1.896198
7.383, 1.236473
7.363, 0.444591
7.344, 0.389393
7.324, -2.08338
7.305, -1.686113
7.285, -1.219316
7.266, -0.49484
7.246, 1.0117
7.227, 1.226389
7.207, 1.709904
7.188, 0.326499
7.168, -0.155424
7.148, -1.161464
7.129, -1.933974
7.109, -0.466975
7.09, -0.468037
7.07, 0.931556
7.051, 1.123688
7.031, 0.618412
7.012, 0.943763
6.992, -0.195761
6.973, 0.103583
6.953, -0.386036
6.934, -0.215664
6.914, 0.149758
6.895, -0.201334
6.875, 0.146574
6.855, -0.246979
6.836, -0.052989
6.816, -0.057766
6.797, 0.389658
6.777, 0.586037
6.758, 0.469006
6.738, 0.346402
6.719, -0.502536
6.699, -0.677684
6.68, -1.19039
6.66, -0.408062
6.641, 0.039627
6.621, 1.039299
6.602, 1.817912
6.582, 0.843717
6.563, 0.573033
6.543, -1.133335
6.523, -1.005689
6.504, -2.001645
6.484, -1.201536
6.465, 0.148962
6.445, 0.332602
6.426, 2.094434
6.406, 1.092639
6.387, 0.453614
6.367, -0.122783
6.348, -2.110183
6.328, -2.058435
6.309, -1.481773
6.289, -0.479713
6.27, 1.725826
6.25, 1.499195
6.23, 2.168208
6.211, 0.136224
6.191, -0.391343
6.172, -1.855157
6.152, -2.164586
6.133, -0.723859
6.113, -0.401162
6.094, 1.881867
6.074, 2.154409
6.055, 1.444528
6.035, 1.949804
6.016, -1.824108
5.996, -0.284662
5.977, -1.615788
5.957, -1.028246
5.938, 0.324906
5.918, -0.036801
5.898, 1.821892
5.879, 0.538534
5.859, 0.459983
5.84, -0.113495
5.82, -0.944121
5.801, -0.826295
5.781, -0.836113
5.762, 0.061919
5.742, 0.34534
5.723, 0.522346
5.703, 0.488378
5.684, -0.098634
5.664, 0.009109
5.645, -0.338268
5.625, -0.232383
5.605, 0.035381
5.586, -0.139236
5.566, -0.046355
5.547, -0.24459
5.527, -0.397712
5.508, -0.242998
5.488, 0.053692
5.469, 0.273689
5.449, 0.816117
5.43, 0.498728
5.41, 0.047589
5.391, -0.221768
5.371, -1.290172
5.352, -0.7703
