TIME  ns, IN1, IN2
992.5,0.273842,0.427231
990.562,0.300148,0.427231
988.623,0.326454,0.427231
986.685,0.35276,0.427231
984.746,0.379066,0.427231
982.808,0.404191,0.348361
980.869,0.429146,0.258116
978.931,0.454102,0.167872
976.992,0.479057,0.077628
975.054,0.503194,0.112736
973.115,0.527056,0.190088
971.177,0.550918,0.26744
969.238,0.57478,0.344792
967.3,0.598041,0.325932
965.361,0.620938,0.24858
963.423,0.643835,0.171228
961.484,0.666733,0.093876
959.546,0.689917,0.093238
957.607,0.713392,0.170591
955.669,0.736868,0.247943
953.73,0.760344,0.325295
951.792,0.783582,0.378806
949.854,0.806415,0.391698
947.915,0.829248,0.404591
945.977,0.85208,0.417483
944.038,0.87507,0.427231
942.1,0.898546,0.427231
940.161,0.922022,0.427231
938.223,0.945498,0.427231
936.284,0.968799,0.427231
934.346,0.990796,0.427231
932.407,1.012792,0.427231
930.469,1.034789,0.427231
928.53,1.056786,0.427231
926.592,1.076677,0.427231
924.653,1.096551,0.427231
922.715,1.116425,0.427231
920.776,1.136299,0.427231
918.838,1.15673,0.427231
916.899,1.177248,0.427231
914.961,1.197765,0.427231
913.022,1.218282,0.427231
911.084,1.238229,0.493985
909.146,1.257974,0.584229
907.207,1.27772,0.674473
905.269,1.297465,0.764717
903.33,1.316579,0.756069
901.392,1.335295,0.685162
899.453,1.354012,0.614256
897.515,1.372728,0.54335
895.576,1.391351,0.500734
893.638,1.409874,0.487842
891.699,1.428397,0.47495
889.761,1.446921,0.462058
887.822,1.465142,0.453828
885.884,1.482829,0.453828
883.945,1.500517,0.453828
882.007,1.518204,0.453828
880.068,1.535452,0.453828
878.13,1.551274,0.453828
876.191,1.567096,0.453828
874.253,1.582918,0.453828
872.314,1.598515,0.463007
870.376,1.612279,0.546806
868.437,1.626043,0.630604
866.499,1.639807,0.714402
864.561,1.653571,0.7982
862.622,1.667904,0.729844
860.684,1.682247,0.658938
858.745,1.696589,0.588032
856.807,1.710932,0.517126
854.868,1.724558,0.501493
852.93,1.738065,0.495047
850.991,1.751571,0.488601
849.053,1.765078,0.482155
847.114,1.777926,0.537004
845.176,1.790532,0.614356
843.237,1.803139,0.691708
841.299,1.815745,0.76906
839.36,1.827183,0.811289
837.422,1.83786,0.830627
835.483,1.848536,0.849965
833.545,1.859213,0.869303
831.606,1.869705,0.879371
829.668,1.879996,0.879371
827.729,1.890286,0.879371
825.791,1.900577,0.879371
823.853,1.909982,0.879371
821.914,1.917764,0.879371
819.976,1.925546,0.879371
818.037,1.933329,0.879371
816.099,1.941199,0.879371
814.16,1.949367,0.879371
812.222,1.957536,0.879371
810.283,1.965704,0.879371
808.345,1.973879,0.879371
806.406,1.982111,0.879371
804.468,1.990344,0.879371
802.529,1.998577,0.879371
800.591,2.006809,0.879371
798.652,2.011655,0.879371
796.714,2.016414,0.879371
794.775,2.021174,0.879371
792.837,2.025933,0.879371
790.898,2.029546,0.879371
788.96,2.032955,0.879371
787.021,2.036363,0.879371
785.083,2.039772,0.879371
783.145,2.042948,0.879371
781.206,2.046036,0.879371
779.268,2.049123,0.879371
777.329,2.05221,0.879371
775.391,2.054837,0.879371
773.452,2.057152,0.879371
771.514,2.059468,0.879371
769.575,2.061783,0.879371
767.637,2.063159,0.879371
765.698,2.06348,0.879371
763.76,2.063802,0.879371
761.821,2.064124,0.879371
759.883,2.064378,0.879371
757.944,2.064507,0.879371
756.006,2.064636,0.879371
754.067,2.064765,0.879371
752.129,2.064301,0.879371
750.19,2.061729,0.879371
748.252,2.059156,0.879371
746.313,2.056583,0.879371
744.375,2.053885,0.879371
742.437,2.049962,0.879371
740.498,2.046038,0.879371
738.56,2.042115,0.879371
736.621,2.038192,0.879371
734.683,2.032526,0.879371
732.744,2.026802,0.879371
730.806,2.021078,0.879371
728.867,2.015354,0.879371
